File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands\RemoveAllPartCommand.cs,63,52,26,6,11,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands\RemovePartAtCommand.cs,35,28,19,3,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands\RemovePartCommand.cs,46,36,22,6,9,0,1,9,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old2\AboutCommand.cs,27,21,15,1,6,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old2\CommandHelper.cs,85,58,38,7,13,0,14,51,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old2\Jobs.cs,128,99,63,20,29,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old2\Parts.cs,147,114,69,21,32,0,1,9,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old2\Receiver.cs,193,140,78,24,44,0,9,32,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Colours.cs,16,14,10,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\ConsoleTable.cs,128,71,44,9,23,0,34,123,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\MainWin.cs,60,39,27,0,13,0,8,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\MainWin.Designer.cs,39,24,12,1,4,0,11,54,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\PackerConsole.cs,216,134,86,16,30,0,52,186,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\PackerConsoleWin.cs,499,326,209,30,82,0,91,315,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Settings.cs,87,70,30,3,12,0,5,11,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Extensions\Extensions.cs,41,29,20,3,7,0,5,18,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Extensions\TableExtensions.cs,120,98,49,11,21,0,1,2,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Helpers\Utility.cs,129,84,44,11,18,1,27,115,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\PackerControlPanel.cs,16,14,10,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\DateEntry.cs,31,22,14,0,6,0,3,18,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\IEntity.cs,14,12,8,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\Job.cs,97,72,39,6,17,0,8,29,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\JobState.cs,26,23,15,0,3,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\JobStateType.cs,23,18,4,0,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\Note.cs,44,24,15,0,7,0,13,49,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\PackageInfo.cs,49,42,25,2,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\PackageType.cs,60,46,14,1,14,4,0,4,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\Part.cs,118,95,52,5,20,0,3,28,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\Receiver.cs,47,34,20,0,7,0,6,24,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\ReceiverEntry.cs,219,131,69,15,37,0,51,200,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\V3\JobEntryV3.cs,22,17,12,0,2,0,3,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\V3\JobV3.cs,26,19,14,0,4,0,3,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\V3\NoteV3.cs,20,15,10,0,2,0,3,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\V3\PartV3.cs,35,25,18,0,7,0,3,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Interfaces\IJobRepository.cs,20,18,14,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Interfaces\IPartRepository.cs,21,17,13,0,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Interfaces\IReceiverEntriesRepository.cs,27,21,17,0,6,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Interfaces\IReceiverRepository.cs,19,17,13,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Interfaces\IXmlRepository.cs,15,13,9,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,119,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\ActivityLog.cs,24,19,15,0,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\EntryForm.cs,102,74,54,3,18,0,10,26,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\EntryForm.Designer.cs,224,159,147,1,6,0,59,70,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Form1.cs,148,117,71,9,24,0,7,17,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Form1.Designer.cs,125,86,74,1,7,0,32,61,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Program.cs,23,18,11,0,2,0,3,12,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
